ID           Arch  What
C01DKLX571D  arch  #random (archived)
C01E0D9FL2E  -     #general
C01E9ESHS75  -     #commercial-new-competition
C02GQKG8FU2  -     🔒 all-announcements
C02R33R1QGK  -     #all-new-york
C02SWU57L3G  -     #proj-theranos-event
C033KDJLSRG  -     #test
C03J6UWFL91  arch  #tech-engineering (archived)
C03KYGCABTK  -     #aud-social-updates
C03LQGDETT8  arch  #pillars (archived)
C03M1JPUFDY  arch  #newsroom-nyc-old (archived)
C03MAM6Q7B7  arch  #news-list (archived)
C03MG1J48N8  arch  #the-link (archived)
C03MG1KL1BN  -     #proj-women-in-sport
C03MS8KCF8R  arch  #all-design-support (archived)
C03MS8P3LRX  arch  #cost-of-living (archived)
C03P7NBDZ8Q  -     #all-planning
C03PHPS421H  -     #tnm-newsroom-lon
C03PJ9FFNHZ  -     #caliber-newsroom-all
C03T2D0L0PQ  -     #hr-managers-all
C03T3EH6Y91  -     #commercial-leads
C0409AQC5C7  -     #caliber-newsroom-nyc
C041ARRFQ2G  -     #tech-cms
C0420277MRT  -     #pets
C042LNJH8LT  arch  #tech-site-redesign (archived)
C043L29DR7E  arch  #ops-admin (archived)
C0452FM7G0M  arch  #food (archived)
C0455998YP9  -     #aud-tiktok-trends
C047JR61PRP  arch  #townhall-questions (archived)
C047QDLJTTR  -     #tnmnationalworld
C048LGVNNHH  -     #hr-bamboo-employees
C048MDHLT46  arch  #espresso-yourself (archived)
C049CHTS87M  -     #tnm-axate
C04ADJG1MG9  -     #hr-penfold-pension-support
C04CLBRACMN  -     #davosplanning
C04CUS6S9L4  arch  🔒 bigboiideas (archived)
C04DVS4T649  -     #evergreen
C04J4DJBF62  -     #proj-bravomania
C04MQJEBSD9  -     #proj-tnm-van
C04NMEEEJS0  arch  #sotu (archived)
C04PLUL9KNV  arch  #super-bowl (archived)
C04QFF8FACD  -     #appreciation
C04QKTX7PSQ  -     #recommendations
C04QMD4G03Y  arch  #recount-wire (archived)
C04QW3C0073  arch  #hr-wellbeing (archived)
C04QXF4H6E7  -     #ask-me-anything
C04TDK52N5R  arch  #oscars (archived)
C04V85F4472  -     #tnm-stacks-all
C051TDVK17X  arch  #event-chatter (archived)
C052C59SDL1  -     #commercial-snap-stars
C052PSBFJLD  -     #all-generative-ai
C052Y76EQMA  -     #all-technical-ai
C0538HQVBTK  -     #kit
C0548RQ2UJW  -     #tech-slack-migration
C054XATKWR5  -     #tech-recount-bot-twitter-dev
C0556G77WPQ  -     #recount-twitter-main
C0559QT9F5K  -     #tech-recount-bot-wire-dev
C055AB82W83  -     #tnm-social-feeds
C055P9MHDEE  -     #tech-recount-bot-wire-stage
C055RP76TMX  -     #recount-new-wire
C05600G5QQL  -     #recount-random
C0561U03RNV  -     #tech-recount-bot-twitter-stage
C056A4RB1T3  -     #recount-publishing
C056RE0R4CA  arch  #tech-integration-notifications (archived)
C0587DUBPQX  -     #tech-recount-wire-slack-testing
C05896FV9RC  -     🔒 team-commercial
C058H088PF0  -     #recount-twitter-alt
C058RLSNETE  -     #recount-tag-world
C059CT11LG0  -     #recount-platform-publish-alerts
C05ATV74V62  -     #tech-genai-transcription-poc
C05BUGXHVGF  -     Group: @hrusi @valentina.park @dion.bailey
C05C09357HT  -     #cannes-contacts
C05C2LBU6D9  -     #equipment-dev
C05CBK33KEZ  -     #equipment-stage
C05CJQ8LGCE  -     #equipment
C05CMN15AC9  -     Group: @hrusi @valentina.park @dion.bailey @dustin
C05CMN21H4H  -     Group: @hrusi @valentina.park @dion.bailey @dustin @jason.panay
C05CN9QEL21  arch  Group: @dion.bailey @hrusi @mitch (archived)
C05D8S5KQKX  -     Group: @hrusi @noe.lopez @eros.espanola
C05E4P52KF1  -     Group: @dion.bailey @sahil.chandnani @hrusi
C05EDC8P952  -     #tech-genai-poc-bot-old
C05EG58URDM  -     #tech-genai-poc-bot-test
C05EHB0UP6W  -     🔒 engineering-bullpen
C05ENUALGJZ  arch  #tech-genai-poc-bot-2 (archived)
C05EU4M1BQ9  -     Group: @maytee.sanchez @eros.espanola @mariana.palafox @noe.lopez @hrusi
C05F6E7BCDD  -     Group: @mariana.palafox @dustin @noe.lopez @hrusi
C05F873NS2K  -     Group: @brigid.chillemi @hrusi @sigin.ojulu
C05FDPK72CF  arch  Group: @trevor @stephen @mitch @hrusi @jason.panay (archived)
C05FMLAAM4N  arch  #egoli-collab (archived)
C05GF5TRREZ  -     Group: @dion.bailey @jessica.coen @hrusi
C05GH23U537  -     Group: @hrusi @dustin @dion.bailey
C05GX5ZCDHB  -     Group: @hrusi @dion.bailey @dustin @jason.panay
C05GX61DZNH  -     Group: @hrusi @dion.bailey @dustin @jason.panay @noe.lopez
C05H4GZU5AP  arch  #recount-digital (archived)
C05H58KG602  -     Group: @hrusi @rebecca.hutson @jessica.coen
C05H60E565R  -     #recount-social-strategy
C05H7407H7E  -     #recount-editorial-new
C05HDAUQB38  -     #recount-relatedstoriesbiz
C05HDAUSSBG  arch  #snap-wtf-america-new (archived)
C05HG9JM6SD  -     Group: @hrusi @dustin @valentina.park
C05HQSZSBN0  -     #recount-edit-calendar
C05HVMW7P7G  -     #tnm-web-design
C05HYKJU77B  -     #recount-great-tweets
C05JS0Y3738  -     🔒 tech-pr-reviews
C05K0FRE5QC  -     🔒 caliber-product-tech
C05K8352GCB  -     #templates
C05KKAY072P  -     Group: @brigid.chillemi @hrusi @lizzie.gordon
C05KVPT07EG  -     #leads
C05KXB09CQH  -     #kpmg-cop28-rfp
C05LEGTQXJB  -     Group: @dustin @hrusi @caroline.mwaura
C05LELUDSKD  -     Group: @caroline.mwaura @noe.lopez @hrusi
C05LH8625K2  -     Group: @brigid.chillemi @hrusi @markham
C05LL5F4YTX  -     Group: @valentina.park @dustin @hrusi @dion.bailey @caroline.mwaura @jackson.weimer @wayne.farry
C05LP04P8N7  -     Group: @valentina.park @dustin @hrusi @dion.bailey @caroline.mwaura
C05LR0N75NY  -     Group: @caroline.mwaura @hrusi @dion.bailey
C05LYEF8NDA  -     Group: @lizzie.gordon @hrusi @caroline.mwaura @will.hamnett
C05M1RGAUD8  -     Group: @hrusi @jason.panay @noe.lopez
C05MJEWDA7J  -     Group: @alexandru.gheorghe @hrusi @dion.bailey
C05MPKDJ554  -     Group: @hrusi @caroline.mwaura @dion.bailey @jason.panay
C05MYKM7BMY  -     Group: @dion.bailey @hrusi @noe.lopez
C05N6LNM2S1  -     Group: @hrusi @brigid.chillemi @lucy.wyatt
C05NA535U11  -     Group: @hrusi @noe.lopez @roberto.galindo
C05NA928LBT  -     Group: @dion.bailey @caroline.mwaura @valentina.park @hrusi
C05NCU3CTSR  -     Group: @hrusi @francisco.hernandez @jason.panay
C05NDHAB2GG  -     Group: @caroline.mwaura @hrusi @jason.panay
C05QUQQUUVD  -     Group: @jason.panay @dion.bailey @hrusi
C05S01BDUTD  -     Group: @hrusi @brigid.chillemi @dion.bailey
C05S523KP0F  -     Group: @valentina.park @dion.bailey @hrusi @dustin @jackson.weimer @caroline.mwaura @jason.panay
C05SCUDCW14  -     Group: @valentina.park @dion.bailey @hrusi @dustin @jackson.weimer
C05SDE13FC7  -     Group: @caroline.mwaura @hrusi @lizzie.gordon
C05SM7K7Q1X  -     Group: @dion.bailey @dustin @hrusi @caroline.mwaura
C05SN1LRRTN  -     Group: @valentina.park @dion.bailey @hrusi @dustin @jackson.weimer @caroline.mwaura
C05SN9WP2TG  -     Group: @caroline.mwaura @monica.dimperio @dion.bailey @hrusi
C05SVJ4MVGE  -     Group: @brigid.chillemi @slade @hrusi @jason.panay
C05T09RGQ8K  -     Group: @slade @hrusi @brigid.chillemi
C05T987FE04  -     Group: @dustin @caroline.mwaura @hrusi @jason.panay
C05T9TK8YN8  -     Group: @caroline.mwaura @slade @jason.panay @hrusi
C05TRPRBKKP  -     Group: @roberto.galindo @hrusi @andoni.guzman
C05U06CPTFG  -     Group: @hrusi @jason.panay @mariana.palafox
C05UDGTGCUT  -     Group: @hrusi @jason.panay @maytee.sanchez @mariana.palafox
C05UKEKQBAM  -     Group: @caroline.mwaura @mariana.palafox @jason.panay @maytee.sanchez @hrusi
C05UZ45UK71  -     #gcp-monitoring-staging
C05UZT3AYCW  arch  #recount-editorial (archived)
C05V6EBMHFD  arch  #snap-wtf-america2023919 (archived)
C05VBSUC2AW  -     Group: @jason.panay @hrusi @andoni.guzman
C060C958J1F  -     #gcp-monitoring
C060HF8E3GF  -     Group: @andoni.guzman @hrusi @mariana.palafox
C06136JPWTB  -     Group: @jason.panay @hrusi @stephen
C06136K3XMX  -     Group: @jason.panay @hrusi @stephen @trevor
C061Z3JDXAT  -     Group: @hrusi @jason.panay @jackson.weimer
C06250AL2MV  -     Group: @caroline.mwaura @david.barko @hrusi
C062JMVJ725  -     #bot-testing
C062U517HTK  -     Group: @hrusi @dion.bailey @rebecca.hutson
C063MCD80HW  arch  🔒 recount-codemedia (archived)
C063NB00RDE  -     Group: @hrusi @lucy.wyatt @jessica.coen
C06497VK98C  -     Group: @sahil.chandnani @hrusi @will.hamnett
C0659DYKEH0  -     Group: @jemima.walker @hrusi @hkpanda @dion.bailey @olivia.empson
C065BT5V3UL  -     Group: @jemima.walker @hrusi @hkpanda @olivia.empson
C065D2JJ60Y  -     Group: @roberto.galindo @hrusi @ruben.felatana
C065E6UQUBX  -     Group: @valentina.park @jackson.weimer @jason.panay @hrusi @caroline.mwaura @dion.bailey @sahil.chandnani @wayne.farry @ellie.leith
C065ECJFMN1  -     Group: @valentina.park @wayne.farry @jackson.weimer @jason.panay @hrusi @sahil.chandnani
C065JR7QTTM  -     #adtech
C065KHZUC84  -     Group: @valentina.park @jackson.weimer @jason.panay @hrusi
C065KJ124AY  -     Group: @valentina.park @jackson.weimer @jason.panay @hrusi @caroline.mwaura @dion.bailey @sahil.chandnani @wayne.farry
C0666H0NXK2  -     Group: @caroline.mwaura @hrusi @sahil.chandnani
C0685BFNY3A  -     Group: @hrusi @molly.macintyre @will.hamnett
C068A4L0FRA  -     #recount-wire-slack-testing
C068FNCJAJV  -     #rss-feeds
C068QLMDDAN  -     Group: @brigid.chillemi @dion.bailey @caroline.mwaura @valentina.park @jackson.weimer @jason.panay @hrusi
C069HFE8346  -     #platform-publish-alerts
C069N030UQP  -     Group: @valentina.park @ruben.felatana @hrusi
C069SAMGZ8V  -     #platform-cache-events
C069USL8N2E  -     Group: @brigid.chillemi @monica.dimperio @hrusi
C06A4LWKZ0R  -     #recount-services
C06AU558WLA  -     #globalproduction-requests
C06B4DVAE5B  -     Group: @valentina.park @hrusi @caroline.mwaura
